n_clusters,num_noise_points,use_umap,n_components,n_neighbors,quality_score,avg_same_cluster,avg_diff_cluster,n_same,n_diff,n_total,iteration,min_cluster_size,model,year,method,data_name,params
171,23260,FALSE,5,5,2.27223959802087,2.90789473684211,0.635655138821237,76,2053,4167,5,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_FALSE_n_components_5_n_neighbors_5
2,22898,FALSE,5,5,1.39337100007811,1.97989949748744,0.586528497409327,199,1930,4167,1,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_FALSE_n_components_5_n_neighbors_5
2,22898,FALSE,5,5,1.39337100007811,1.97989949748744,0.586528497409327,199,1930,4167,2,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_FALSE_n_components_5_n_neighbors_5
2,22898,FALSE,5,5,1.39337100007811,1.97989949748744,0.586528497409327,199,1930,4167,3,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_FALSE_n_components_5_n_neighbors_5
2,22898,FALSE,5,5,1.39337100007811,1.97989949748744,0.586528497409327,199,1930,4167,4,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_FALSE_n_components_5_n_neighbors_5
2,22898,FALSE,5,5,1.39337100007811,1.97989949748744,0.586528497409327,199,1930,4167,5,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_FALSE_n_components_5_n_neighbors_5
2,25751,FALSE,5,5,1.81003401816088,2.43243243243243,0.622398414271556,111,2018,4167,1,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_FALSE_n_components_5_n_neighbors_5
2,25751,FALSE,5,5,1.81003401816088,2.43243243243243,0.622398414271556,111,2018,4167,2,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_FALSE_n_components_5_n_neighbors_5
2,25751,FALSE,5,5,1.81003401816088,2.43243243243243,0.622398414271556,111,2018,4167,3,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_FALSE_n_components_5_n_neighbors_5
2,25751,FALSE,5,5,1.81003401816088,2.43243243243243,0.622398414271556,111,2018,4167,4,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_FALSE_n_components_5_n_neighbors_5
2,25751,FALSE,5,5,1.81003401816088,2.43243243243243,0.622398414271556,111,2018,4167,5,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_FALSE_n_components_5_n_neighbors_5
0,27487,FALSE,5,5,,,0.716768435885392,0,2129,4167,1,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_FALSE_n_components_5_n_neighbors_5
0,27487,FALSE,5,5,,,0.716768435885392,0,2129,4167,2,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_FALSE_n_components_5_n_neighbors_5
0,27487,FALSE,5,5,,,0.716768435885392,0,2129,4167,3,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_FALSE_n_components_5_n_neighbors_5
0,27487,FALSE,5,5,,,0.716768435885392,0,2129,4167,4,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_FALSE_n_components_5_n_neighbors_5
0,27487,FALSE,5,5,,,0.716768435885392,0,2129,4167,5,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_FALSE_n_components_5_n_neighbors_5
699,7458,TRUE,10,5,1.94363490619178,2.43673469387755,0.493099787685775,245,1884,4167,1,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_10_n_neighbors_5
699,7458,TRUE,10,5,1.94363490619178,2.43673469387755,0.493099787685775,245,1884,4167,2,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_10_n_neighbors_5
